t,state
95828,1.97626e-323
95829,1.97626e-323
95830,1.97626e-323
95831,1.97626e-323
95832,1.97626e-323
95833,1.97626e-323
95834,1.97626e-323
95835,1.97626e-323
95836,1.97626e-323
95837,1.97626e-323
95838,1.97626e-323
95839,1.97626e-323
95840,1.97626e-323
95841,1.97626e-323
95842,1.97626e-323
95843,1.97626e-323
95844,1.97626e-323
95845,1.97626e-323
95846,1.97626e-323
95847,1.97626e-323
95848,1.97626e-323
95849,1.97626e-323
95850,1.97626e-323
95851,1.97626e-323
95852,1.97626e-323
95853,1.97626e-323
95854,1.97626e-323
95855,1.97626e-323
95856,1.97626e-323
95857,1.97626e-323
95858,1.97626e-323
95859,1.97626e-323
95860,1.97626e-323
95861,1.97626e-323
95862,1.97626e-323
95863,1.97626e-323
95864,1.97626e-323
95865,1.97626e-323
95866,1.97626e-323
95867,1.97626e-323
95868,1.97626e-323
95869,1.97626e-323
95870,1.97626e-323
95871,1.97626e-323
95872,1.97626e-323
95873,1.97626e-323
95874,1.97626e-323
95875,1.97626e-323
95876,1.97626e-323
95877,1.97626e-323
95878,1.97626e-323
95879,1.97626e-323
95880,1.97626e-323
95881,1.97626e-323
95882,1.97626e-323
95883,1.97626e-323
95884,1.97626e-323
95885,1.97626e-323
95886,1.97626e-323
95887,1.97626e-323
95888,1.97626e-323
95889,1.97626e-323
95890,1.97626e-323
95891,1.97626e-323
95892,1.97626e-323
95893,1.97626e-323
95894,1.97626e-323
95895,1.97626e-323
95896,1.97626e-323
95897,1.97626e-323
95898,1.97626e-323
95899,1.97626e-323
95900,1.97626e-323
95901,1.97626e-323
95902,1.97626e-323
95903,1.97626e-323
95904,1.97626e-323
95905,1.97626e-323
95906,1.97626e-323
95907,1.97626e-323
95908,1.97626e-323
95909,1.97626e-323
95910,1.97626e-323
95911,1.97626e-323
95912,1.97626e-323
95913,1.97626e-323
95914,1.97626e-323
95915,1.97626e-323
95916,1.97626e-323
95917,1.97626e-323
95918,1.97626e-323
95919,1.97626e-323
95920,1.97626e-323
95921,1.97626e-323
95922,1.97626e-323
95923,1.97626e-323
95924,1.97626e-323
95925,1.97626e-323
95926,1.97626e-323
95927,1.97626e-323
95928,1.97626e-323
95929,1.97626e-323
95930,1.97626e-323
95931,1.97626e-323
95932,1.97626e-323
95933,1.97626e-323
95934,1.97626e-323
95935,1.97626e-323
95936,1.97626e-323
95937,1.97626e-323
95938,1.97626e-323
95939,1.97626e-323
95940,1.97626e-323
